Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
Ne;18.01.2026;18:25;KT;RLJ;C1196;"HC Klatovy ";"HC Rokycany z.s. ";3:9
Út;20.01.2026;20:15;KT;"KSM PLK";P0173;"HC Klatovy";"HC Staòkov ";12:5
St;21.01.2026;18:25;KT;RLJ;C1122;"HC Klatovy ";"HC Domažlice ";4:3sn
Pá;23.01.2026;17:30;DO;RLJ;C1202;"HC Domažlice ";"HC Klatovy ";2:6
Pá;23.01.2026;18:10;KT;RLSD;P3117;"HC Klatovy ";"HK LEV Slaný ";0:17
So;24.01.2026;10:25;KT;"LMŽ B";K5124;"HC Klatovy B";"HC Meteor Tøemošná B";4:5
So;24.01.2026;12:40;KT;RLSD;P3184;"HC Klatovy ";"HC Rokycany z.s. ";4:6
So;24.01.2026;17:30;KT;"KLM KPK";P0307;"HC Klatovy ";"HC Domažlice ";1:2
Ne;25.01.2026;09:00;KT;"S3T PLK";PM3060;"HC Klatovy ";"HC Rokycany z.s. ";0:0
Ne;25.01.2026;11:00;PK;"KSM PLK";P0168;"Jiskra Bezdružice ";"HC Klatovy";1:4
Ne;25.01.2026;11:15;CK;"LSŽ B";P7056;"Slavoj Èeský Krumlov B";"HC Klatovy ";3:1
Ne;25.01.2026;11:30;KT;"S3T PLK";PM3058;"HC Klatovy ";"HC Tachov ";0:0
Ne;25.01.2026;12:30;KT;"S4T PLK";PM4063;"HC Klatovy ";"HC Meteor Tøemošná ";0:0
Ne;25.01.2026;13:05;PK;"LMŽ B";K5125;"HC Pilsen Wolves B";"HC Klatovy ";3:1
Ne;25.01.2026;15:00;VP;RLSD;P3195;"Slavoj Vel.Popovice ";"HC Klatovy ";7:2
Ne;25.01.2026;15:00;KT;"S4T PLK";PM4061;"HC Klatovy ";"TJ Sušice ";0:0
Ne;25.01.2026;18:10;KT;RLJ;C1211;"HC Klatovy ";"HC Berounští Medvìdi ";7:4
St;28.01.2026;18:25;KT;RLJ;C1162;"HC Klatovy ";"HC Spartak Žebrák ";4:6
So;31.01.2026;11:00;RO;"S4T PLK";PM4070;"HC Rokycany z.s. ";"HC Klatovy ";0:0
So;31.01.2026;12:00;RO;"S4T PLK";PM4071;"HC Klatovy ";"HC Pilsen Wolves ";0:0
So;31.01.2026;13:30;SI;"S2T PLK";PM2068;"HC Meteor Tøemošná ";"HC Klatovy ";0:0
So;31.01.2026;14:30;SI;"S2T PLK";PM2069;"TJ Sušice ";"HC Klatovy ";0:0
So;31.01.2026;17:00;RO;"KLM KPK";P0311;"HK Rokycany, o.s. ";"HC Klatovy ";7:3
Ne;01.02.2026;09:10;KT;"LMŽ B";K5129;"HC Klatovy ";"HC Klatovy B";4:5
Ne;01.02.2026;11:25;KT;"LSŽ B";P7060;"HC Klatovy ";"Loko. Veselí n.Luž. ";3:5
