Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
Ne;08.03.2026;16:30;HC;RLSD;P3250;"HC Spartak Žebrák ";"HC Klatovy ";4:3sn
Ne;08.03.2026;19:00;KT;"KSM PLK";P0245;"HC Klatovy B";"HC S.O.S. Žízeò Chotìšov o.s. ";1:2sn
Pá;13.03.2026;18:10;KT;RLSD;P3254;"HC Klatovy ";"HC Domažlice ";1:5
So;14.03.2026;10:15;PK;"S2T PLK";PM2082;"HC Pilsen Wolves ";"HC Klatovy ";0:0
So;14.03.2026;10:25;KT;"LMŽ B";K5174;"HC Klatovy ";"HC Mariánské Láznì ";8:7
So;14.03.2026;11:15;PK;"S2T PLK";PM2083;"HC Klatovy ";"HC Baník Sokolov ";0:0
So;14.03.2026;12:40;KT;"LSŽ B";P7092;"HC Klatovy ";"Slavoj Èeský Krumlov B";5:2
So;14.03.2026;18:15;KT;"KLM KPK";P0336;"HC Klatovy ";"HC Domažlice ";7:3
Ne;15.03.2026;10:25;KT;"LSŽ B";P7031;"HC Klatovy ";"Spartak Sobìslav ";7:3
Ne;15.03.2026;11:00;MP;RLSD;P3255;"HC Pøíbram B";"HC Klatovy ";3:2
Ne;15.03.2026;12:40;KT;"LMŽ B";K5170;"HC Klatovy B";"HC Energie Karlovy Vary B";6:9
Ne;15.03.2026;14:55;KT;RLJ;P1012;"HC Klatovy ";"HC Meteor Tøemošná ";1:9
Pá;20.03.2026;18:10;KT;RLJ;P1013;"HC Klatovy ";"HC Strakonice ";7:6sn
Pá;20.03.2026;18:40;ML;RLSD;P3260;"HC Mariánské Láznì ";"HC Klatovy ";5:1
So;21.03.2026;10:25;KT;"LMŽ B";K5155;"HC Klatovy B";"HC Baník Sokolov B";12:8
So;21.03.2026;11:00;VL;"LSŽ B";P7096;"Loko. Veselí n.Luž. ";"HC Klatovy ";4:5
So;21.03.2026;13:30;PL;"LMŽ B";K5177;"HC ŠKODA PLZEÒ B";"HC Klatovy ";7:6
So;21.03.2026;17:30;DO;"KLM KPK";P0338;"HC Domažlice ";"HC Klatovy ";9:5
Ne;22.03.2026;13:30;SO;"LMŽ B";K5181;"HC Baník Sokolov ";"HC Klatovy B";1:7
Ne;22.03.2026;14:25;KT;RLSD;P3262;"HC Klatovy ";"HC Berounští Medvìdi ";1:3
Ne;22.03.2026;18:55;KT;RLJ;P1016;"HC Klatovy ";"HC Domažlice ";0:1sn
Pá;27.03.2026;17:30;TM;RLJ;P1018;"HC Meteor Tøemošná ";"HC Klatovy ";6:3
So;28.03.2026;17:00;DO;RLSD;P3239;"HC Domažlice ";"HC Klatovy ";5:2
So;28.03.2026;18:00;KT;"KLM KPK";P0340;"HC Klatovy ";"HC Domažlice ";4:3
Ne;29.03.2026;14:15;DO;RLJ;P1010;"HC Domažlice ";"HC Klatovy ";5:2
